;zcrAvg;changeSign;energyValue;rmseValue;centAvg;rollOff85_Avg;rollOff10_Avg;spectralFlux;mfcc1;mfcc2;mfcc3;mfcc4;mfcc5;mfcc6;mfcc7;mfcc8;mfcc9;mfcc10;mfcc11;mfcc12;mfcc13;mfcc14;mfcc15;mfcc16;mfcc17;mfcc18;mfcc19;mfcc20;mfcc21;mfcc22;mfcc23;mfcc24;mfcc25;mfcc26;mfcc27;mfcc28;mfcc29;mfcc30;class
0;0.014695142663043479;4187;0.011612468562874666;0.10776116368668007;1615.496127672707;2730.2853260869565;231.5599524456522;1.230952;-395.09897;116.3151;43.76291;4.3525395;-22.956348;-2.2881763;-0.76956594;-16.07077;-18.615417;-13.998002;-15.670983;-6.066732;2.9570525;-4.4753885;2.6927278;4.5481772;-4.1573;-4.3218765;-4.7853274;-2.6471503;3.640003;2.1024084;-3.8035426;-1.1483883;1.1262755;-0.57351696;-1.0494843;-3.1443808;-3.1724927;0.81625676;dog_bark
1;0.009656646286231883;4593;0.012839727525135979;0.11331252784381489;2155.661327183973;4688.308848505435;191.61430027173913;0.97672457;-421.31113;85.34321;28.446869;2.614782;-13.2112;0.7328429;1.1761675;-8.094849;-9.270786;-4.742173;-7.1874194;-3.7714887;2.022741;-3.9663606;0.15766636;3.4614933;0.43487036;2.9200273;4.5983987;3.886591;3.26556;0.7724072;-3.4210315;-2.3475568;-0.694498;-2.0227857;-2.027052;-3.41095;-3.5003355;-0.9072584;dog_bark
2;0.007264775815217391;5768;0.007429633691140128;0.08619532057818206;2584.7372578330164;6042.840947690217;161.34298573369566;0.8075852;-438.31323;67.21547;16.692242;5.1714845;-2.3996818;5.9273796;1.8098685;-4.306139;-3.8447194;-0.707587;-1.6239725;0.21761458;4.9020805;1.2153984;0.15661325;1.0960985;-0.24421197;1.5356392;3.99302;2.6740818;1.33009;-1.143731;-2.5216835;-0.3998561;0.7800148;0.35298732;-1.1313461;-3.1233094;-2.6692293;-0.8048726;dog_bark
3;0.018793402777777777;3033;0.0010709801469174877;0.03272583228933741;2203.600110434458;4921.341796875;92.544921875;1.100447;-429.13632;145.62596;22.025145;34.73761;-3.5427096;2.9131138;-4.891852;0.3899281;1.5039811;3.6839168;3.489037;2.5618804;-0.5769233;-0.6959784;0.6001819;5.7548776;7.808646;5.4115844;5.649603;4.8371825;7.5724773;6.4249907;5.664308;4.066204;3.7427251;2.8313031;0.9221533;0.9845648;0.7142636;0.8938894;gun_shot
4;0.04783093089788732;5681;0.0013159910079960373;0.036276592472159495;2903.1275918972833;5851.875412632042;462.9638671875;1.6688899;-312.8482;143.50786;-44.70327;1.0043093;-29.809708;16.589455;-25.81487;17.250078;-11.337409;7.6854033;6.1646724;1.8957309;7.2893004;12.7219925;6.62432;0.21897061;7.9426975;-5.931194;2.7585306;-4.681098;2.077769;-4.943395;4.5797524;-2.7399938;-1.7305654;-0.21647397;-0.54932016;0.89342403;0.6474789;2.8111413;dog_bark
5;0.019436424365942027;8626;7.977234988680316e-05;0.008931537514286813;3923.1146721530336;9897.658797554348;121.0852581521739;1.2379628;-404.48755;111.33523;24.871305;27.04467;5.6662455;10.4117565;3.1396265;2.1043339;-4.4703627;-4.88522;-3.600904;0.1866134;0.07320738;1.8321595;0.73560745;3.2542598;5.4229493;9.534631;9.45115;7.0179496;3.5587845;0.994276;-2.161782;-2.5233157;-2.603422;-2.603762;-3.817247;-3.7909172;-5.014211;-5.130925;dog_bark
6;0.017167685688405796;8748;0.00019085219430857572;0.013814926015792523;4029.6686690211363;10359.467985733696;102.67280910326087;1.1839491;-419.66794;102.85616;33.76743;37.757015;12.709164;14.523868;5.270803;4.573981;0.022716356;-1.1997707;-3.9032419;-3.7299087;-5.1386533;-3.7918966;-3.449313;-0.18668796;2.0546744;5.5746512;6.6446857;7.2967434;5.1360927;3.222597;0.345119;0.40106997;-0.06833989;-0.16796988;-1.5961263;-2.4817946;-3.3766353;-2.8356292;dog_bark
7;0.00799507472826087;13767;4.458129563967564e-05;0.00667692228121388;5076.085412418415;12128.498641304348;126.57778532608695;1.2842364;-423.9399;89.28092;14.735375;25.460857;6.804056;11.722652;4.773228;5.217311;1.8713298;1.7029032;0.117314965;2.0960457;1.8281527;3.2484128;2.5919735;5.238644;6.075545;8.381292;7.596617;6.313345;2.5882215;-0.59469646;-2.8807192;-2.5148122;-2.5405827;-2.1548824;-3.7230933;-4.43606;-5.4717064;-4.493091;dog_bark
8;0.009997735507246377;12862;4.647028501263805e-05;0.006816911510436547;4868.824369518187;11778.786939538044;119.33763586956522;1.2695382;-420.1289;93.3697;16.693335;26.056242;6.880449;11.934479;3.939169;3.8812072;0.38509595;0.59485006;-0.0029610011;1.8409284;1.2634666;2.7870958;2.924843;5.200941;5.379098;8.016355;8.0361595;7.287032;3.2731698;-0.23493072;-2.591875;-2.6807237;-2.8278575;-2.2676644;-3.1085322;-3.6261888;-4.9825764;-4.243439;dog_bark
9;0.0930083786231884;17369;0.0010517429998566337;0.032430586377048834;3490.9542248536172;6852.92629076087;251.40794836956522;1.439168;-209.17334;134.14955;-42.86545;48.574512;-20.721615;11.14027;-10.435603;13.918773;-11.792975;13.708478;-7.2681823;3.7543132;-6.6655927;5.0360446;-3.171788;2.23715;4.397836;1.7070918;0.21988843;-4.2492886;-1.7067652;-4.530366;-1.931641;2.0671203;2.712839;1.0581925;-1.5200425;4.957609;-7.292444;4.1143923;jackhammer
